status,experience_id,transaction_id,user_id,timestamp,experience_description,total_spend,enhanced_redemption_rate,boost_type,match_status,required_link,clean_description
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,e5f2d9d0-71ed-425a-b6b0-68a8eab3fa05,dc6fc45e-5eb0-413b-b418-aeef67c8e83f,2025-01-14 09:04:00,FRIVE offer,32.38,True,time_based,match,False,FRIVE
not_redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,79a0cef1-ab6e-4f58-81cc-3a6fcc093c6f,e52c4efa-d593-46da-892e-3708e27a0de3,2025-10-14 03:20:11,FRIVE offer,87.37,False,,match_denied,True,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,c56ec986-a67b-4cc3-9d14-fab212c14aa6,b7b9f418-63d5-4bc5-bee9-f925f8f2b803,2025-05-01 03:39:13,FRIVE offer,109.44,False,,match,False,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,41d84dbd-8023-4127-b4ef-841c6b61790e,d889683c-0b36-4e3a-bad5-2c7da4cdf851,2025-05-06 23:45:49,FRIVE offer,30.48,True,time_based,match,False,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,30bcda8b-c959-465a-b5a3-a7c9eee17d28,0c796ddd-8cd1-4192-a4ad-fd023d51f23c,2024-01-24 03:31:23,FRIVE offer,40.95,True,time_based,match,False,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,9639e3f9-4665-403c-a789-7765d581a3e1,37e2cb0e-01f6-45db-914c-6d8863a92600,2025-10-01 01:50:45,FRIVE offer,74.27,False,,match,False,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,38e6392f-2546-43ec-af88-a5546055e4d9,e588da33-cc15-4aaf-9a21-2a9b98afd8e7,2025-05-23 05:51:59,FRIVE offer,81.6,True,time_based,match,False,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,c24de8c8-7631-4da6-adeb-3a37ad14a827,2ffc62a1-1512-4569-a031-757068b99f4d,2025-05-11 06:18:56,FRIVE offer,52.42,True,time_based,match,False,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,7149c330-fe8c-4fb9-81e5-bc2abe8cabd3,0f243601-5521-45d7-b9cd-d26c266b6e3c,2025-07-13 10:46:59,FRIVE offer,20.41,False,,match,False,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,f8483b41-cdca-4aaa-b2dc-8d869d3bd6fc,dc6fc45e-5eb0-413b-b418-aeef67c8e83f,2025-03-17 07:33:08,FRIVE offer,96.05,True,time_based,match,False,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,efa17c82-d1c5-459c-8862-34c206de4457,7831baba-3a1e-43e5-8fe8-f6091ae067c8,2025-01-10 11:38:56,FRIVE offer,27.67,False,,match,False,FRIVE
not_redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,e7333e01-dd1a-446c-bf37-58d56f55a2f6,1c2f7862-ba10-4494-88cf-afd94f79b6f1,2025-10-04 17:19:14,FRIVE offer,55.94,False,,match_denied,True,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,2cff419b-bda1-45d6-9957-3a8da06bceaf,9119c8ee-2828-4148-8dd2-e09eee42ee67,2025-05-24 21:08:45,FRIVE offer,97.88,True,time_based,match,False,FRIVE
not_redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,0735731b-7042-46c6-bd11-5ea276c14f94,7831baba-3a1e-43e5-8fe8-f6091ae067c8,2025-01-03 14:56:48,FRIVE offer,21.41,True,time_based,match_denied,True,FRIVE
not_redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,c7c6eb8f-7e0b-4cbb-b7e9-0db671caed1b,f770b398-a7bc-41b1-b621-dd2e850205bb,2025-03-30 11:37:38,FRIVE offer,36.54,False,,match_denied,True,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,9126f53c-d00e-43b0-9659-5eb8d4386b53,c251d7c3-4e08-4493-b514-38640022f239,2025-03-09 08:50:06,FRIVE offer,15.73,True,time_based,match,False,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,e45af556-37b1-43d5-b089-a9c892d7bf95,ae45ec26-bb2e-4aa8-af19-033b46c09b04,2025-10-17 09:39:01,FRIVE offer,31.66,False,,match,False,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,49da1d89-389a-409e-a76c-65e7e95b372a,d889683c-0b36-4e3a-bad5-2c7da4cdf851,2025-05-07 07:57:14,FRIVE offer,37.1,False,,match,False,FRIVE
not_redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,248d1247-2b5c-4dd4-b10e-6073adb23a53,ed6d8a85-0e1a-4be0-a1d4-3b6bc96ddef6,2025-03-18 09:26:03,FRIVE offer,108.6,True,time_based,match_denied,True,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,ed77bfd9-9aad-408c-a7b7-0625a32902c0,f770b398-a7bc-41b1-b621-dd2e850205bb,2025-03-23 14:10:30,FRIVE offer,87.46,False,,match,False,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,e8551018-629f-4ade-a994-6eb8ad30313c,ae45ec26-bb2e-4aa8-af19-033b46c09b04,2025-10-06 13:02:14,FRIVE offer,29.91,False,,match,False,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,100c449e-1cd3-4fad-964d-064d7ac97f09,0f243601-5521-45d7-b9cd-d26c266b6e3c,2025-03-17 21:24:28,FRIVE offer,64.09,False,,match,False,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,a0f64264-199a-43b1-bae8-9aa3a6696455,57f7500a-2b65-46ee-b0ae-bf00a8c9ef60,2025-01-30 09:46:58,FRIVE offer,28.95,False,,match,False,FRIVE
not_redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,ad832aa4-5b4c-4927-b708-db6489a290fc,0f243601-5521-45d7-b9cd-d26c266b6e3c,2025-12-21 11:53:59,FRIVE offer,102.99,False,,match_denied,True,FRIVE
redeemable,ba328510-ff02-45d9-8eee-c1e3f98f709c,0ad9767c-110e-47fc-bc4d-c14891ff7ba5,1c2f7862-ba10-4494-88cf-afd94f79b6f1,2025-01-21 04:21:21,FRIVE offer,37.84,True,time_based,match,False,FRIVE
